年/月,定期入境航班數量,非定期入境航班數量,定期出境航班數量,非定期出境航班數量,出入境航班總計,入境人次數,出境人次數,過境人次數,客運量人次數,進口貨量,出口貨量,轉口貨量,進出轉口總貨運量
200901,5061,735,5029,766,11591,913795,931571,22589,1867955,20533688,25947804,39277869,85759361
200902,4477,626,4499,612,10214,789380,824790,21230,1635400,21163354,28152238,37030993,86346585
200903,5031,579,5027,589,11226,934751,925464,23533,1883748,26314847,35989025,52681473,114985345
200904,5058,657,5115,602,11432,1004102,1010437,18985,2033524,27020108,37557271,53061735,117639114
200905,5125,700,5108,713,11646,924548,925607,15380,1865535,29644304,37024331,58092385,124761020
200906,4670,569,4635,602,10476,816202,829941,17657,1663800,32869702,40145178,59126534,132141414
200907,4994,615,5007,608,11224,1003443,1020018,24975,2048436,37756472,41879416,62766971,142402859
200908,5038,666,5038,664,11406,1106269,1102274,29666,2238209,36467220,43098907,65418935,144985062
200909,5671,297,5653,309,11930,936894,892274,26475,1855643,37624247,48349545,70600102,156573894
200910,6013,317,6016,323,12669,960642,1001970,24766,1987378,39842162,49193252,84498704,173534118
200911,5943,374,5941,377,12635,1030284,988404,23150,2041838,40203447,48407228,97019620,185630295
200912,6071,404,6064,411,12950,1086847,1053753,31023,2171623,40244013,46936676,89302776,176483465
201001,6075,325,6073,330,12803,1002606,1076195,27852,2106653,40041215,45767861,81160910,166969986
201002,5540,854,5540,847,12781,1108931,1043628,19531,2172090,32527296,38805960,77436099,148769355
201003,6126,347,6147,336,12956,1114766,1129325,28540,2272631,42994215,54765841,100627564,198387620
201004,5981,373,5999,355,12708,1112421,1112420,21667,2246508,40725613,53385222,96903161,191013996
201005,6121,411,6130,397,13059,1116143,1129818,18757,2264718,41860999,54381641,104426241,200668881
201006,5963,334,5973,333,12603,1114889,1132821,17880,2265590,41677657,51206510,98337966,191222133
201007,6324,472,6320,472,13588,1212348,1235836,21156,2469340,45729457,50888457,95140443,191758357
201008,6194,482,6189,480,13345,1199432,1186520,23625,2409577,42737517,47165162,92518039,182420718
201009,5917,454,5923,449,12743,1071588,1037261,19639,2128488,41280450,47708255,91026380,180015085
201010,6202,417,6222,398,13239,1089680,1100720,20514,2210914,42489263,49354223,101748573,193592059
201011,6049,358,6049,355,12811,1048536,1013305,12886,2074727,43575006,47239845,95551529,186366380
201012,6243,454,6257,446,13400,1069651,1039295,19304,2128250,46345075,48011740,90353032,184709847
201101,6232,518,6244,510,13504,1032064,1033552,19912,2085528,45891932,46391513,82789669,175073114
201102,5558,635,5547,636,12376,944535,1027358,16720,1988613,33241373,36521539,64125660,133888572
201103,6304,389,6317,375,13385,1026915,1020461,18542,2065918,46225513,50252937,99863999,196342449
201104,6116,396,6137,383,13032,1066969,1062901,14747,2144617,42293835,47955158,89155711,179404704
201105,6211,358,6218,343,13130,1033924,1067677,18731,2120332,42765343,46788308,84745029,174298680
201106,6264,352,6261,378,13255,1102799,1143049,17608,2263456,41440709,45277095,80724740,167442544
201107,6621,415,6612,429,14077,1215392,1225176,21913,2462481,46351687,46975373,85676611,179003671
201108,6627,424,6616,429,14096,1212214,1199538,27566,2439318,39290412,43444937,83954823,166690172
201109,6395,404,6393,419,13611,1068605,1040506,22340,2131451,37497870,43798971,80688961,161985802
201110,6583,452,6587,450,14072,1108655,1107586,20131,2236372,37933082,44357003,92625684,174915769
201111,6631,391,6617,400,14039,1103094,1073009,18554,2194657,35773513,43296424,88198033,167267970
201112,6827,481,6839,476,14623,1154194,1104806,21813,2280813,39765350,42303367,90492572,172561289
